Trial,Friendliness,Curtness,Warmth,Rude,Length,Source
304.1,2.5,0.5,2,0.5,62.5,Coder
304.2,4,2.5,4,1.5,24.83,Coder
304.3,4,3,3,1.5,39.06,Coder
305.2,6,1,6,1,54.505,Coder
306.1,4.5,1,4.5,1,45.39,Coder
307.1,4,2.5,3,1.5,27.95,Coder
308.1,5,1,5,1,76.3,Coder
309.1,3,0.5,3,0.5,46.99,Coder
309.2,6.5,1,6,1,35.025,Coder
310.1,5.5,2,5.5,1,24.965,Coder
311.1,5.5,1,5,1,76.455,Coder
311.2,5.5,1,5.5,1,92.335,Coder
312.2,4.5,1,4.5,1,41.775,Coder
313.1,5.5,1,5.5,1,83.455,Coder
313.2,4.5,1,4,1,35.84,Coder
313.3,5.5,1.5,5,1,87.345,Coder
314.1,6,1,6,1,113.62,Coder
315.1,4,3,3,2.5,26.93,Coder
316.2,5,1,5,1,55.64,Coder
316.3,6,1,5,1,104.94,Coder
317.1,4,1,3,1,75.61,Coder
317.2,5,1,4,1,50.56,Coder
319.1,4.5,2,5,1.5,33.365,Coder
319.2,4.5,1.5,4,1,23,Coder
319.3,4.5,1,4,1,13.685,Coder
320.1,5,1,5,1,66.34,Coder
320.2,5.5,1,6,1,59.055,Coder
322.1,5.5,1,5,1,47.355,Coder
322.3,4.5,1.5,4,1,46.875,Coder
323.1,6.5,1,6.5,1,38.045,Coder
324.1,3,0.5,2.5,0.5,17.83,Coder
325.1,4,1.5,3.5,1,43.105,Coder
325.3,5.5,1,5,1,31.385,Coder
325.5,6.5,1.5,6,1,60.765,Coder
326.1,4.5,1,4,1,26.56,Coder
326.3,2,0.5,2,0.5,18.75,Coder
331.1,7,1,7,1,54.605,Coder
331.2,5.5,1,5.5,1,67.155,Coder
101.1,4,5,2,1,197,Confederate
103.2,4,3,4,2,55,Confederate
105.1,6,1,5,1,93,Confederate
109.1,5,5,4,1,84,Confederate
111.2,4,3,4,2,54,Confederate
111.4,3,4,3,4,62,Confederate
113.1,3,4,4,1,46,Confederate
114.1,4,4,5,1,62,Confederate
119.3,5,2,4,1,228,Confederate
119.4,5,1,5,1,112,Confederate
119.5,4,1,5,1,169,Confederate
121.1,2,6,2,3,42,Confederate
122.2,5,2,4,1,77,Confederate
122.4,5,3,6,1,70,Confederate
123.1,6,1,5,1,113,Confederate
125.2,5,2,4,1,34,Confederate
129.1,4,2,4,1,57,Confederate
129.2,3,2,3,1,166,Confederate
129.4,3,2,3,1,80,Confederate
130.1,5,2,5,1,265,Confederate
131.1,4,6,3,1,44,Confederate
133.1,6,4,6,1,132,Confederate
135.2,3,6,2,3,85,Confederate
135.4,6,1,6,1,126,Confederate
135.5,5,1,4,1,56,Confederate
137.1,5,1,5,1,61,Confederate
137.2,3,2,2,1,114,Confederate
137.3,5,1,5,1,34,Confederate
141.1,3,4,3,1,45,Confederate
143.1,5,1,4,1,54,Confederate
143.2,7,1,6,1,42,Confederate
145.1,5,1,5,1,286,Confederate
146.2,5,3,5,2,102,Confederate
147.1,6,1,5,1,71,Confederate
147.2,6,1,5,1,69,Confederate
151.1,4,2,4,1,169,Confederate
151.2,5,2,4,1,54,Confederate
151.3,6,1,5,1,183,Confederate
153.1,3,2,3,1,59,Confederate
153.2,2,3,3,1,58,Confederate
154.2,5,3,4,2,406,Confederate
154.3,4,2,4,1,30,Confederate
157.1,3,5,3,1,50,Confederate
161.1,3,2,4,1,199,Confederate
162.1,6,2,6,1,109,Confederate
167.1,3,6,4,2,30,Confederate
169.1,5,2,4,1,106,Confederate
169.2,4,1,4,1,140,Confederate
170.2,4,4,3,2,94,Confederate
170.3,5,1,4,1,117,Confederate
173.1,4,4,4,1,43,Confederate
175.2,5,1,5,1,89,Confederate
175.3,4,2,4,1,59,Confederate
175.4,3,1,4,1,120,Confederate
177.1,6,1,5,1,163,Confederate
177.2,2,4,2,1,63,Confederate
181.1,5,3,4,1,219,Confederate
183.2,4,2,4,1,33,Confederate
185.2,4,1,3,1,97,Confederate
185.5,3,1,2,1,68,Confederate
186.1,4,3,4,1,45,Confederate
189.1,5,6,4,2,73,Confederate
191.1,6,1,6,1,158,Confederate
194.1,5,1,4,1,84,Confederate
194.2,2,4,2,2,101,Confederate
194.3,3,2,3,1,74,Confederate
195.1,5,3,5,2,44,Confederate
195.5,3,5,3,3,59,Confederate
203.1,4,4,3,2,51,Confederate
203.2,5,3,6,2,43,Confederate
206.1,4,2,3,1,39,Confederate
210.1,1,6,1,3,32,Confederate
216.3,7,1,6,1,71,Confederate
218.1,3,3,2,2,81,Confederate
218.2,2,4,2,1,46,Confederate
218.4,3,3,2,1,46,Confederate
219.2,6,1,6,1,125,Confederate
222.1,6,1,7,1,54,Confederate
